"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"gene-abce1|abce1"	262.700269478681	0.105952784879971	0.0281220392741257	3.76760674598215	0.000164820070819158	0.00169579580885594
"gene-si:dkey-6i22.5|si:dkey-6i22.5"	23.1818150225127	-0.27199275490447	0.0723746042802814	-3.75812424274041	0.000171191878435429	0.00174456130354749
"gene-LOC132463139|LOC132463139"	264.894726704886	0.294505009896922	0.0596592538711384	4.93645144361076	7.95568331237438e-07	2.12004635637234e-05
"gene-prkaa1|prkaa1"	3214.61285704688	-0.126782734464496	0.0340426269133444	-3.72423475976815	0.000195908561479354	0.00193395624569665
"gene-snx27a|snx27a"	1220.23705269789	-0.0630710658454225	0.01399905805089	-4.50537926310069	6.62545018246717e-06	0.000125962116117261
"gene-LOC132467924|LOC132467924"	197.522767123278	0.0945071207278742	0.032030373339586	2.9505469613454	0.00317211817956902	0.0171388805882921
"gene-LOC132462420|LOC132462420"	713.695192687075	-0.134317843644132	0.0311548193019831	-4.31130228495925	1.62295854600018e-05	0.00026130311652756
"gene-copa|copa"	1141.65308019589	0.0553273042877379	0.0180028215560976	3.07325738442364	0.00211735779654983	0.0125618143711436
"gene-LOC132461740|LOC132461740"	2138.07063376679	0.125918081978082	0.0341318095843598	3.68917099654104	0.000224985969638598	0.00216220282509821
"gene-lsm7|lsm7"	1046.05913894494	-0.142686470009222	0.0447843515071307	-3.18607873525874	0.00144215343527773	0.00931108459555152
"gene-fgf9|fgf9"	90.5041119853861	0.123620635363289	0.0322500207734374	3.83319552665556	0.000126489334477154	0.00138252743119949
"gene-LOC132468024|LOC132468024"	372.757404657519	0.140268345973536	0.0328540121430477	4.26944342026788	1.95961349482244e-05	0.000304793562169635
"gene-bod1|bod1"	777.196382962598	0.0957165063809544	0.0316829665497547	3.02107147165787	0.00251881897204822	0.0143378926101206
"gene-fgf19|fgf19"	96.0395311710393	-0.358377271758691	0.0726330400631761	-4.93408057059123	8.05291948010803e-07	2.14298991420856e-05
"gene-LOC132474910|LOC132474910"	104.694277450883	-0.12768753831591	0.0331434729355747	-3.85256966172836	0.000116884708497946	0.00129617394322795
"gene-LOC132454339|LOC132454339"	480.781285955289	-0.0672897117287641	0.0230491152629883	-2.9194054071488	0.0035069981053095	0.0185522803261355
"gene-LOC132466987|LOC132466987"	669.380720055645	-0.205777105904813	0.0397534253608443	-5.17633648011364	2.26285197811414e-07	7.5454544296215e-06
"gene-arfip2b|arfip2b"	394.361836730241	0.0428129665845349	0.0158712835757316	2.69751128698872	0.00698599164435942	0.0311279479475394
"gene-LOC132455301|LOC132455301"	55.8702802651665	-0.130671926062634	0.0439854031680645	-2.97080205365739	0.00297023158362174	0.0163277873339663
"gene-cep350|cep350"	699.797172191455	-0.0901189886794816	0.0310563217354229	-2.90179208752502	0.00371034703740313	0.0192931702348284
"gene-si:ch73-217n20.1|si:ch73-217n20.1"	262.222135681549	-0.192233178369112	0.0344624534605196	-5.57804680358394	2.43234218067534e-08	1.09341737280826e-06
"gene-LOC132473990|LOC132473990"	161.332680149838	-0.152663958963494	0.0343370565811564	-4.44604092964898	8.74672904030785e-06	0.000158911300033544
"gene-fth1b|fth1b"	2110.10742322405	-0.150801369521947	0.03655350364394	-4.12549699724742	3.69935009398984e-05	0.000513902496811296
"gene-spg7|spg7"	1647.26379684261	-0.102283394890552	0.0300530963786337	-3.40342284874415	0.000665472042424136	0.00511329157198098
"gene-phf5a|phf5a"	323.628482286148	-0.142576506455511	0.036287931821727	-3.92903368414468	8.52878934527999e-05	0.00100424667688609
"gene-slc19a1|slc19a1"	1468.09418960029	-0.0795303634550197	0.023695184259356	-3.35639354328369	0.000789661150689336	0.00584349251510108
"gene-zgc:91910|zgc:91910"	14310.1599999533	-0.0743416286146517	0.0197632415308204	-3.76161109495714	0.000168822405540647	0.001724983049709
"gene-LOC132450468|LOC132450468"	44.2915417823416	-0.219313257407201	0.0658004562883118	-3.33300511543957	0.00085913362752192	0.00625652195061383
"gene-ect2|ect2"	80.5482071253527	-0.267713734079807	0.0386448594945756	-6.92753803691237	4.28227427002757e-12	5.84333028051989e-10
"gene-LOC132462159|LOC132462159"	843.57753051755	0.044909768510185	0.0119808570860358	3.74846041378202	0.000177923413042109	0.00179603697110712
"gene-spns1|spns1"	1800.45141077672	-0.0432715358390819	0.0150667082440712	-2.87199666563592	0.00407887270908554	0.0207612462758745
"gene-ttk|ttk"	53.6809192766863	-0.215192569710881	0.0538059434033022	-3.99942006588206	6.34978892657285e-05	0.000788193154498463
"gene-pex14|pex14"	1426.11996828123	-0.0455368329546027	0.012434772990328	-3.6620558324645	0.000250199310939811	0.00235856675280841
"gene-map3k3|map3k3"	494.438139739023	-0.0878723209900333	0.026305108269226	-3.34050406068215	0.000836264577780435	0.00612009527443726
"gene-pak5|pak5"	6.55248767161773	-0.373071110137505	0.145622439429171	-2.56190674733864	0.0104099265324841	0.0419976906028504
"gene-uck1|uck1"	1163.25255076087	-0.0721803317979554	0.0289642789859242	-2.49204655959269	0.0127009386973074	0.0487464712819059
"gene-tprkb|tprkb"	420.390627426628	-0.136207223566721	0.0505359826835973	-2.69525230011864	0.00703353510704075	0.0312963032977484
"gene-mrm3a|mrm3a"	115.733937191262	0.082784500216942	0.0330595195950981	2.50410475502544	0.012276168110803	0.0476196521072277
"gene-dnajc5ga|dnajc5ga"	363.512417785814	0.0519721013706856	0.0194250668572448	2.67551724545556	0.00746140343749577	0.0327010027647878
"gene-sltm|sltm"	1625.99766396871	-0.084999348429687	0.0323050558076896	-2.63114693055118	0.00850972366510651	0.0360965899883714
"gene-rasef|rasef"	51.0001205875714	-0.174438579623678	0.0603646814918263	-2.88974571409438	0.00385553562081907	0.0198928681535422
"gene-dbf4|dbf4"	72.1618903818259	-0.117708992327298	0.0413636532231192	-2.84571074252957	0.00443124269543965	0.0221010923222397
"gene-ugp2b|ugp2b"	442.595145014519	0.111262673772672	0.0292699272488765	3.80126239558531	0.000143960748185544	0.00152354499179861
"gene-fcf1|fcf1"	546.004515245965	-0.0866669058534556	0.0290282214973297	-2.98560853483318	0.00283014685745869	0.0157603547141839
"gene-LOC132448757|LOC132448757"	254.500720484353	-0.0540773939733219	0.0186769520923624	-2.89540786451103	0.00378666172203752	0.0195795139833383
"gene-fam13a|fam13a"	705.882693275727	0.0954399771077303	0.0230634299158811	4.13815193385489	3.5011450576461e-05	0.000489905679338988
"gene-tlr3|tlr3"	1039.10303556008	0.0642928988593236	0.022628401591865	2.84124791573599	0.00449373633809935	0.0223509966572713
"gene-nup37|nup37"	173.82383796024	-0.212813083374397	0.0283588039016498	-7.50430392312903	6.17558726759086e-14	1.30569559371921e-11
"gene-slc35f6|slc35f6"	901.512263115085	0.0538932683188444	0.0155509355757484	3.46559652673828	0.000529056574870257	0.00426079887003087
"gene-lmf1|lmf1"	735.209030017389	0.0892979224329595	0.0217375808910556	4.10799724589884	3.9910486229414e-05	0.000543026210389453
"gene-LOC132462362|LOC132462362"	40.9830283162971	-0.135652295077174	0.0427891537096716	-3.17024954495682	0.00152308071808699	0.00972587886358902
"gene-LOC132454460|LOC132454460"	868.14611861802	-0.114030839619406	0.0254805603885596	-4.4752092528783	7.63365131673818e-06	0.00014163110061142
"gene-LOC132463558|LOC132463558"	74.060493892016	0.159398541713255	0.0579143482291235	2.75231521353974	0.00591755318991936	0.0275608141791451
"gene-arhgdig|arhgdig"	115.155967900077	-0.286959943571659	0.0683598048538643	-4.19778763536709	2.69535203971641e-05	0.000394991441680677
"gene-tcea1|tcea1"	458.167945723448	0.0532419231148866	0.0145602000848534	3.65667523829381	0.000255507759510059	0.0023980338014505
"gene-LOC132464916|LOC132464916"	19221.525297739	0.160831724328489	0.0363950115022151	4.41905958234688	9.9131317173293e-06	0.000175786778102687
"gene-hgsnat|hgsnat"	1424.51260980113	0.0533615902951936	0.0147772379607255	3.61106659018529	0.000304940346945919	0.00275424483056984
"gene-map6d1|map6d1"	39.9231954718885	-0.301732417043347	0.081535477679498	-3.70062732973008	0.000215067130452228	0.0020909002475497
"gene-eif3i|eif3i"	5440.11759803721	0.0632389375907379	0.0224348563603415	2.81878058744902	0.00482064577472377	0.0235690870209111
"gene-pdcd11|pdcd11"	184.222019810339	0.102273097615473	0.0343360334667675	2.97859383537878	0.00289574348196781	0.0160052009747373
"gene-chka|chka"	1003.58387882923	0.0867385963862821	0.0206197563283346	4.20657717798005	2.59267567814895e-05	0.000383751538551662
"gene-gucy2f|gucy2f"	74.986676776051	-0.186741704711879	0.0441260462055201	-4.23200628132683	2.31615938703984e-05	0.000350612955205717
"gene-casc3|casc3"	743.64137854316	-0.0654305354381935	0.0227601962018485	-2.87477905980791	0.0040431030818444	0.0206282957556845
"gene-rab35b|rab35b"	285.617786325152	-0.0803510898818395	0.0189816215035397	-4.2330993622887	2.30492607627947e-05	0.000349187226044229
"gene-LOC132458211|LOC132458211"	71.5187652091521	-0.228312127532952	0.0428085760963749	-5.33332683196361	9.64295212823247e-08	3.57476683905959e-06
"gene-LOC132454772|LOC132454772"	713.990122564457	-0.0986945041301398	0.0285555140001684	-3.45623280076688	0.00054778199866739	0.00438225598933912
"gene-ly97.3|ly97.3"	21702.7563315965	-0.0902627305336475	0.0253620214677296	-3.55897224708594	0.000372308866730011	0.00323104311947921
"gene-LOC132472342|LOC132472342"	49.6172836102994	-0.13730818606236	0.0547341339491285	-2.50863905492645	0.012119725524356	0.0471554133647339
"gene-calr3a|calr3a"	90996.3514989385	0.148765967057439	0.0248557204897417	5.985180237235	2.16150371527224e-09	1.40497741492696e-07
"gene-si:ch211-113e8.11|si:ch211-113e8.11"	260.71519532348	0.0536819774069889	0.0211527136566112	2.53782934324413	0.0111542361513095	0.044373491242075
"gene-LOC132450375|LOC132450375"	297.646670650444	-0.0985860712570657	0.0335095504192	-2.94202906406583	0.00326069322208579	0.0175459140398486
"gene-khnyn|khnyn"	561.931806731665	-0.0860157804439631	0.0295496961283	-2.91088544770466	0.00360406125106093	0.0188904264701557
"gene-adam17b|adam17b"	568.564782617166	-0.119485465854816	0.0276815043347306	-4.31643686737444	1.58568005114748e-05	0.000257021770716744
"gene-pparab|pparab"	695.398441319338	0.139164964649178	0.0319063234987227	4.36167346747893	1.29071403223836e-05	0.000218027550309623
"gene-apbb3|apbb3"	33.3700179472929	-0.116250329709523	0.0432893998699784	-2.68542252973443	0.0072438165655919	0.0319763963366007
"gene-fth1a|fth1a"	43513.0417036618	0.0753614324257313	0.0268008786029649	2.81190156271199	0.00492495729264891	0.0239283278562033
"gene-cdkn2d|cdkn2d"	69.8567122947784	-0.176662768243883	0.0384733373519516	-4.59182333541235	4.39390244777267e-06	8.95536897194344e-05
"gene-cct2|cct2"	3151.01954453224	0.0735635831576401	0.0204503904898037	3.597172542711	0.000321695099411034	0.00288371983455302
"gene-LOC132471595|LOC132471595"	159.895256686794	-0.222357759395873	0.0389613295039163	-5.70713993149341	1.1489032629758e-08	5.73760215875712e-07
"gene-cenph|cenph"	64.2765642537495	-0.345720447235384	0.0411921032982795	-8.39288163393746	4.74369132602496e-17	2.34022105417232e-14
"gene-acss3|acss3"	39.7960689583715	-0.0932316018314027	0.0353411576963063	-2.63804606041944	0.00833852551476808	0.0355964568236383
"gene-LOC132473736|LOC132473736"	614.446664909675	0.0537123647853038	0.0181858706622572	2.95352176328726	0.00314170455163249	0.0169936450867048
"gene-mogs|mogs"	300.195976436817	-0.194105028522694	0.0632421738026546	-3.06923397554918	0.00214608441378086	0.0127009117567345
"gene-LOC132448769|LOC132448769"	591.903012879133	-0.189870282975175	0.0431185318021902	-4.40344963149999	1.06543028841051e-05	0.000187026483349405
"gene-LOC132452105|LOC132452105"	162.308777860171	-0.0756493220310077	0.0290999931836671	-2.59963366841842	0.0093323325292518	0.0386387083845071
"gene-si:ch211-1a19.3|si:ch211-1a19.3"	36.6078292954786	-0.249116811937857	0.091192229600817	-2.73177674269327	0.00629938116425271	0.0288749687007164
"gene-exosc2|exosc2"	688.676621226326	-0.149262493167516	0.0357494170459127	-4.1752427172678	2.97668506326612e-05	0.000427079944945863
"gene-LOC132448690|LOC132448690"	61.1421330855564	-0.163528151560765	0.0630472367084357	-2.59374018748842	0.00949381999841779	0.0391892505405617
"gene-si:cabz01101003.1|si:cabz01101003.1"	425.905634953679	-0.0478843373280269	0.0185048990134014	-2.58765731676508	0.00966310597654009	0.0396273840765262
"gene-szt2|szt2"	1127.52274727146	0.0874832467125028	0.015376024010245	5.68958832622875	1.27346006501684e-08	6.29855312363082e-07
"gene-hmgn1a|hmgn1a"	6382.48146057953	-0.0572765221737343	0.0169572557330141	-3.37769996959016	0.000730947852753052	0.00550643566443567
"gene-cbx7b|cbx7b"	151.967882776989	0.142930884241744	0.0307899189733831	4.64213252283329	3.44831565526191e-06	7.33282003850621e-05
"gene-LOC132454265|LOC132454265"	1362.41260609652	0.0792046038679732	0.0144666960736213	5.4749614884352	4.37606770701475e-08	1.81065683189169e-06
"gene-ccdc28a|ccdc28a"	1249.58758346112	0.0437846080911324	0.00798367592457025	5.48426670932152	4.15187983803414e-08	1.73280191071099e-06
"gene-LOC132458285|LOC132458285"	337.927154626044	-0.382662085276921	0.0491071345465992	-7.7923928734592	6.57519119175952e-15	1.94625659276082e-12
"gene-LOC132470240|LOC132470240"	47.6271741584053	0.0750671842815649	0.0300426494587276	2.49868722080227	0.0124654278177157	0.0481402712189584
"gene-pdia3|pdia3"	21010.9284445068	0.070675361979491	0.0261375152137287	2.70398166778947	0.0068514068958238	0.0306631934579321
"gene-txk|txk"	120.743434238982	-0.109539852907802	0.0347756085043424	-3.1499047067465	0.0016332372535437	0.0102691126660722
"gene-commd8|commd8"	1250.09957771776	-0.0933738100712329	0.0212437850352552	-4.39534715288608	1.10595861815803e-05	0.000191479751261779
"gene-necap2|necap2"	981.700592425311	0.0446741115545579	0.0166463945828982	2.68371095807463	0.00728100238278848	0.0320931239048912
"gene-sec22a|sec22a"	207.81855085332	0.0791896925125392	0.0227190874550079	3.48560181694637	0.00049103131684346	0.00401847832244499
"gene-slc25a48|slc25a48"	16327.588241931	0.0749575508253808	0.0278218119836973	2.69420089781728	0.00705576222985213	0.0313444620878215
"gene-dclk3|dclk3"	52.6181327183759	0.215840357073731	0.0607006002348359	3.55581915563762	0.000376803212225687	0.00326268848029803
