GOterm,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,fdr_over,fdr_under,treatment
GO:0030198,1.1489777725838857e-11,1,40,80,extracellular matrix organization,BP,2.3810102241574067e-8,1,Warm_Upregulated
GO:0007155,7.50724327658381e-11,1,77,220,cell adhesion,BP,1.3612508871265595e-7,1,Warm_Upregulated
GO:0006954,2.052374186657031e-5,0.9999912719903222,44,143,inflammatory response,BP,0.02126552853689064,1,Warm_Upregulated
GO:0051256,2.3038271732900336e-5,0.9999994447303159,7,8,mitotic spindle midzone assembly,BP,0.02227954465049682,1,Warm_Upregulated
GO:0007186,4.793750313302073e-5,0.9999792279201414,42,136,G protein-coupled receptor signaling pathway,BP,0.03796903556010252,1,Warm_Upregulated
GO:0030574,5.720315994065662e-5,0.9999904243080898,13,25,collagen catabolic process,BP,0.03796903556010252,1,Warm_Upregulated
GO:0000281,1.116895118225743e-4,0.999966751151052,21,54,mitotic cytokinesis,BP,0.07044208949992446,1,Warm_Upregulated
GO:0090330,1.2555208018796726e-4,1,5,5,regulation of platelet aggregation,BP,0.0724633987515673,1,Warm_Upregulated
GO:0048014,1.3501680737580657e-4,1,5,5,Tie signaling pathway,BP,0.0724633987515673,1,Warm_Upregulated
GO:0007156,1.8162293685070025e-4,0.9999422425879557,22,56,homophilic cell adhesion via plasma membrane adhesion molecules,BP,0.0878207440652086,1,Warm_Upregulated
GO:0062023,6.629232609703475e-22,1,73,138,collagen-containing extracellular matrix,CC,9.616364823635861e-18,1,Warm_Upregulated
GO:0005615,5.537554636240812e-20,1,176,546,extracellular space,CC,4.016388377665461e-16,1,Warm_Upregulated
GO:0005576,6.542915013432429e-18,1,182,591,extracellular region,CC,3.1637175061616936e-14,1,Warm_Upregulated
GO:0005886,2.661340687838736e-13,1,474,2114,plasma membrane,CC,7.72108160355774e-10,1,Warm_Upregulated
GO:0005581,2.022880228369267e-12,1,27,40,collagen trimer,CC,4.890650098787431e-9,1,Warm_Upregulated
GO:0031012,1.0901483754831065e-9,0.9999999997138489,46,111,extracellular matrix,CC,1.5813692334757942e-6,1,Warm_Upregulated
GO:0005604,9.399827411903064e-9,0.9999999980345499,31,64,basement membrane,CC,1.2395808767005985e-5,1,Warm_Upregulated
GO:0071162,4.3046223978518255e-6,0.9999999074461096,8,9,CMG complex,CC,0.005203571041936548,1,Warm_Upregulated
GO:0009986,2.9377227109880124e-5,0.9999848477648595,69,253,cell surface,CC,0.026634128528495067,1,Warm_Upregulated
GO:0030425,5.171788358194239e-5,0.9999722909916968,71,266,dendrite,CC,0.03796903556010252,1,Warm_Upregulated
GO:0015630,5.5263195904824544e-5,0.999979971373445,30,87,microtubule cytoskeleton,CC,0.03796903556010252,1,Warm_Upregulated
GO:0019814,5.758436387165692e-5,0.9999963032718423,8,11,immunoglobulin complex,CC,0.03796903556010252,1,Warm_Upregulated
GO:0097149,1.319801800499029e-4,1,5,5,centralspindlin complex,CC,0.0724633987515673,1,Warm_Upregulated
GO:0000796,1.3987144388831412e-4,1,5,5,condensin complex,CC,0.0724633987515673,1,Warm_Upregulated
GO:0005509,9.902280884939649e-14,1,123,382,calcium ion binding,MF,3.591062162923364e-10,1,Warm_Upregulated
GO:0004930,3.3873691754988636e-10,0.9999999999384586,38,81,G protein-coupled receptor activity,MF,5.459686362198501e-7,1,Warm_Upregulated
GO:0030020,8.82255375430415e-6,0.9999989362753641,13,21,extracellular matrix structural constituent conferring tensile strength,MF,0.00984461267384123,1,Warm_Upregulated
GO:0008201,4.650737929459207e-5,0.9999837202608645,29,82,heparin binding,MF,0.03796903556010252,1,Warm_Upregulated
GO:0008514,1.3689547064726706e-4,0.9999961560902886,6,7,organic anion transmembrane transporter activity,MF,0.0724633987515673,1,Warm_Upregulated
GO:0008017,1.5327020136253223e-4,0.9999276427119886,44,152,microtubule binding,MF,0.07666681175741008,1,Warm_Upregulated
